8497,1,Travis Head,Australia,856
12086,2,Abhishek Sharma,India,829
10479,3,Philip Salt,England,815
14504,4,Tilak Varma,India,804
7915,5,Suryakumar Yadav,India,739
2258,6,Jos Buttler,England,735
13682,7,Pathum Nissanka,Sri Lanka,714
9443,8,Tim Seifert,New Zealand,708
8359,9,Babar Azam,Pakistan,681
8116,10,Kusal Perera,Sri Lanka,676
9491,10,Reeza Hendricks,South Africa,676
9468,12,Mohammad Rizwan,Pakistan,674
13940,13,Yashasvi Jaiswal,India,673
10637,14,Josh Inglis,Australia,641
11172,15,Finn Allen,New Zealand,629
